	roi	attend_task	gc_decoded_std_mean	gc_decoded_std_sem	gl_decoded_std_mean	gl_decoded_std_sem	gr_decoded_std_mean	gr_decoded_std_sem	gc_gl_diff	gc_gl_p_val_unilateral	gc_gl_p_text_unilateral	gc_gl_p_val_bilateral	gc_gl_p_text_bilateral	gc_gr_diff	gc_gr_p_val_unilateral	gc_gr_p_text_unilateral	gc_gr_p_val_bilateral	gc_gr_p_text_bilateral	gl_gr_diff	gl_gr_p_val_unilateral	gl_gr_p_text_unilateral	gl_gr_p_val_bilateral	gl_gr_p_text_bilateral
0	V2	AttendFix	2.8517288424145226	0.21538067322142418	2.679170243985488	0.20886292124000652	2.732629015581118	0.12395979701063074	0.17255859842903476	0.01953125	p < 0.05	0.0390625	p < 0.05	0.1190998268334047	0.2109375	p = 0.21	0.421875	p = 0.42	-0.05345877159563006	0.44140625	p = 0.44	0.8828125	p = 0.88
0	V3	AttendFix	3.0873996340236314	0.11963334315127433	3.0625990149779962	0.13835149246927675	3.0476148126850373	0.1562664979051665	0.02480061904563513	0.3984375	p = 0.40	0.796875	p = 0.80	0.03978482133859407	0.390625	p = 0.39	0.78125	p = 0.78	0.014984202292958937	0.44921875	p = 0.45	0.8984375	p = 0.90
0	V3AB	AttendFix	4.721892964461428	0.08671118405325089	4.657331411515451	0.10379601537403249	4.662890174174592	0.09785411892679606	0.06456155294597643	0.09765625	p = 0.10	0.1953125	p = 0.20	0.05900279028683553	0.06640625	p = 0.07	0.1328125	p = 0.13	-0.005558762659140903	0.4296875	p = 0.43	0.859375	p = 0.86
0	hMT+	AttendFix	5.263717108081696	0.11443676134025801	5.260126569080123	0.11419949110285808	5.28231460950936	0.09315656451750874	0.003590539001573134	0.44140625	p = 0.44	0.8828125	p = 0.88	-0.018597501427663587	0.23828125	p = 0.24	0.4765625	p = 0.48	-0.02218804042923672	0.265625	p = 0.27	0.53125	p = 0.53
0	LO	AttendFix	5.054937053082689	0.1293095900943203	4.978624640449593	0.14297939012843525	4.981864911482434	0.13320037827133074	0.0763124126330963	0.16015625	p = 0.16	0.3203125	p = 0.32	0.07307214160025488	0.16796875	p = 0.17	0.3359375	p = 0.34	-0.003240271032841413	0.4609375	p = 0.46	0.921875	p = 0.92
0	VO	AttendFix	4.600180660670393	0.21209279019187724	4.571404168203433	0.1944552268798407	4.587043222873555	0.20790841902481128	0.028776492466960235	0.22265625	p = 0.22	0.4453125	p = 0.45	0.013137437796838292	0.421875	p = 0.42	0.84375	p = 0.84	-0.015639054670121944	0.36328125	p = 0.36	0.7265625	p = 0.73
0	iIPS	AttendFix	5.288839816632076	0.03481424421222945	5.188018397125557	0.07050632744357455	5.204961648637671	0.04035777085672473	0.10082141950651913	0.0390625	p < 0.05	0.078125	p = 0.08	0.0838781679944054	0.0078125	p < 0.01	0.015625	p < 0.05	-0.016943251512113733	0.30078125	p = 0.30	0.6015625	p = 0.60
0	sIPS	AttendFix	5.380516263721525	0.036270320416824216	5.337388228942679	0.04208878465479889	5.355038413579919	0.032671118006245524	0.04312803477884586	0.015625	p < 0.05	0.03125	p < 0.05	0.02547785014160553	0.078125	p = 0.08	0.15625	p = 0.16	-0.01765018463724033	0.1796875	p = 0.18	0.359375	p = 0.36
0	iPCS	AttendFix	5.339303974470401	0.06234310321516982	5.307053872650214	0.07959108263739922	5.291082511063614	0.0961777746692812	0.03225010182018728	0.125	p = 0.12	0.25	p = 0.25	0.04822146340678746	0.13671875	p = 0.14	0.2734375	p = 0.27	0.015971361586600175	0.27734375	p = 0.28	0.5546875	p = 0.55
0	sPCS	AttendFix	5.372726143456421	0.049465459913163805	5.338680912612612	0.04538796962950391	5.342660506056346	0.05112971553651051	0.03404523084380884	0.02734375	p < 0.05	0.0546875	p = 0.05	0.030065637400075396	0.01953125	p < 0.05	0.0390625	p < 0.05	-0.003979593443733442	0.3984375	p = 0.40	0.796875	p = 0.80
0	mPCS	AttendFix	5.233614322905591	0.11000059074369041	5.2430428359204955	0.09906335201297588	5.2705703214576936	0.0989576810308978	-0.009428513014904105	0.36328125	p = 0.36	0.7265625	p = 0.73	-0.03695599855210219	0.046875	p < 0.05	0.09375	p = 0.09	-0.027527485537198082	0.171875	p = 0.17	0.34375	p = 0.34
